"State","District","Date","Year","Month","Avg_smlvl_at15cm","Agency_name"
"Andhra Pradesh","Prakasam","2022-09-11","2022","09","33.4742631354","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-09-12","2022","09","31.4400876217","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-09-15","2022","09","27.841163696","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-09-13","2022","09","29.9541272193","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-09-14","2022","09","28.8392527638","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-09-16","2022","09","26.8827809698","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-09-17","2022","09","25.98613092","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-09-18","2022","09","25.167860136","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-09-19","2022","09","24.6879747342","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-09-21","2022","09","23.8997251937","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-09-20","2022","09","24.559716527","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-09-23","2022","09","22.8382956237","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-09-24","2022","09","22.2605181615","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-09-22","2022","09","23.3672944991","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-09-25","2022","09","21.6972305391","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-09-26","2022","09","23.4459878569","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-09-27","2022","09","23.5110352537","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-09-01","2022","09","23.7524035934","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-09-02","2022","09","27.2875616545","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-09-03","2022","09","25.7502776677","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-09-04","2022","09","24.6672744421","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-09-06","2022","09","23.498804277","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-09-07","2022","09","25.2761309481","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-09-05","2022","09","24.2771713891","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-09-08","2022","09","30.7643322856","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-09-09","2022","09","31.7656274296","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-09-10","2022","09","30.72054659","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-09-11","2022","09","32.0015177572","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-09-12","2022","09","30.200795082","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-09-15","2022","09","28.8467164379","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-09-13","2022","09","28.6846130617","NRSC VIC MODEL"
